data,tokens
comment : md anderson treated brothers rare bladder cancer grateful hes fine years later,"['comment', 'md', 'anderson', 'treat', 'brothers', 'rare', 'bladder', 'cancer', 'grateful', 'hes', 'fine', 'years', 'later']"
comment : would xrays pick cancer knee knee pain knee cap went see top knee specialist denver didnt see anything xrays said keeps bothering come back sounds like would knee scope sure would mri cancer show regular xrays little arthritis bad,"['comment', 'would', 'xrays', 'pick', 'cancer', 'knee', 'knee', 'pain', 'knee', 'cap', 'go', 'see', 'top', 'knee', 'specialist', 'denver', 'didnt', 'see', 'anything', 'xrays', 'say', 'keep', 'bother', 'come', 'back', 'sound', 'like', 'would', 'knee', 'scope', 'sure', 'would', 'mri', 'cancer', 'show', 'regular', 'xrays', 'little', 'arthritis', 'bad']"
comment : mom stage bone cancer going survive long,"['comment', 'mom', 'stage', 'bone', 'cancer', 'go', 'survive', 'long']"
comment : father diagnosed bone cancer ’ honestly lost words right,"['comment', 'father', 'diagnose', 'bone', 'cancer', 'honestly', 'lose', 'word', 'right']"
comment : ratio,"['comment', 'ratio']"
comment : try using iodine killed thumb nail canceri applied x wkin weeks didnt see anymore kept appliing monthshasnt came back yet yri poured hand thumb,"['comment', 'try', 'use', 'iodine', 'kill', 'thumb', 'nail', 'canceri', 'apply', 'x', 'wkin', 'weeks', 'didnt', 'see', 'anymore', 'keep', 'appliing', 'monthshasnt', 'come', 'back', 'yet', 'yri', 'pour', 'hand', 'thumb']"
comment : spell name drug stated working well congratulations,"['comment', 'spell', 'name', 'drug', 'state', 'work', 'well', 'congratulations']"
comment : man,"['comment', 'man']"
comment : auntie suffering bone cancer want help dont money love much,"['comment', 'auntie', 'suffer', 'bone', 'cancer', 'want', 'help', 'dont', 'money', 'love', 'much']"
comment :,['comment']
comment : honest people diagnosed bone cancer mortality rate within years depends stage based survivability every bone cancer patients higher stage cancer lesser survivability rate would suggest diagnosed bone cancer please follow doctor says something taken granted,"['comment', 'honest', 'people', 'diagnose', 'bone', 'cancer', 'mortality', 'rate', 'within', 'years', 'depend', 'stage', 'base', 'survivability', 'every', 'bone', 'cancer', 'patients', 'higher', 'stage', 'cancer', 'lesser', 'survivability', 'rate', 'would', 'suggest', 'diagnose', 'bone', 'cancer', 'please', 'follow', 'doctor', 'say', 'something', 'take', 'grant']"
comment : dad suffering dedifferentiated condrosarcoma right femur treatment options limited scary,"['comment', 'dad', 'suffer', 'dedifferentiate', 'condrosarcoma', 'right', 'femur', 'treatment', 'options', 'limit', 'scary']"
comment : sir frnd also suffering bone cancer staze b cured,"['comment', 'sir', 'frnd', 'also', 'suffer', 'bone', 'cancer', 'staze', 'b', 'cure']"
comment : happening,"['comment', 'happen']"
comment : oh,"['comment', 'oh']"
comment : sad,"['comment', 'sad']"
comment : beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment : httpsyoutubefehftrwusimdghdupzsjja,"['comment', 'httpsyoutubefehftrwusimdghdupzsjja']"
comment : almighty god help every sick personlet worry trust youlord,"['comment', 'almighty', 'god', 'help', 'every', 'sick', 'personlet', 'worry', 'trust', 'youlord']"
comment : yeah beat goku,"['comment', 'yeah', 'beat', 'goku']"
comment : graviola leaf capsule sir jason winters tea sage goodluck everyone,"['comment', 'graviola', 'leaf', 'capsule', 'sir', 'jason', 'winter', 'tea', 'sage', 'goodluck', 'everyone']"
comment : please pray mom,"['comment', 'please', 'pray', 'mom']"
comment : ’ high time everyone reach drosuma kinds health issues herpes virus bad breath cancer big thank making self,"['comment', 'high', 'time', 'everyone', 'reach', 'drosuma', 'kinds', 'health', 'issue', 'herpes', 'virus', 'bad', 'breath', 'cancer', 'big', 'thank', 'make', 'self']"
comment : beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment : beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment : pliz pray mother,"['comment', 'pliz', 'pray', 'mother']"
comment : lil durk better,"['comment', 'lil', 'durk', 'better']"
comment : thanks lot saving life deadly cancer disease really happy able testify great herbs follow drosuma total cure,"['comment', 'thank', 'lot', 'save', 'life', 'deadly', 'cancer', 'disease', 'really', 'happy', 'able', 'testify', 'great', 'herbs', 'follow', 'drosuma', 'total', 'cure']"
comment : beat goku tho,"['comment', 'beat', 'goku', 'tho']"
comment : thank much give hope beat cancer,"['comment', 'thank', 'much', 'give', 'hope', 'beat', 'cancer']"
comment : im glad met dr edoba youtube good friend mine recommended mei cant believe cured forever breast cancer gone life thanks doc,"['comment', 'im', 'glad', 'meet', 'dr', 'edoba', 'youtube', 'good', 'friend', 'mine', 'recommend', 'mei', 'cant', 'believe', 'cure', 'forever', 'breast', 'cancer', 'go', 'life', 'thank', 'doc']"
comment : please long life,"['comment', 'please', 'long', 'life']"
comment : bro dislikes,"['comment', 'bro', 'dislike']"
comment : hi make project school someone distende recovered like write you🤍,"['comment', 'hi', 'make', 'project', 'school', 'someone', 'distende', 'recover', 'like', 'write']"
comment : mother diagnose ca breast metastasis axillary node please pray mother,"['comment', 'mother', 'diagnose', 'ca', 'breast', 'metastasis', 'axillary', 'node', 'please', 'pray', 'mother']"
comment : comments momi surviveddie breast cancer hope people cancers survive mf beat goku though,"['comment', 'comment', 'momi', 'surviveddie', 'breast', 'cancer', 'hope', 'people', 'cancers', 'survive', 'mf', 'beat', 'goku', 'though']"
comment : cancer already lymph node liver tried different drugs treatment still working spent lot money process still changes friend mine advised us try herbal medicine told dr eden curing people cancer deadly diseases herbal products quickly contacted explain everything assured us herbal products cure husband purchased,"['comment', 'cancer', 'already', 'lymph', 'node', 'liver', 'try', 'different', 'drug', 'treatment', 'still', 'work', 'spend', 'lot', 'money', 'process', 'still', 'change', 'friend', 'mine', 'advise', 'us', 'try', 'herbal', 'medicine', 'tell', 'dr', 'eden', 'cure', 'people', 'cancer', 'deadly', 'diseases', 'herbal', 'products', 'quickly', 'contact', 'explain', 'everything', 'assure', 'us', 'herbal', 'products', 'cure', 'husband', 'purchase']"
comment : cancer stage serious dangerous,"['comment', 'cancer', 'stage', 'serious', 'dangerous']"
comment : actually got perfect cure cancer got herbal medication dr osoria used weeks got cured totally thank doctor love im also glad came across channel youtube,"['comment', 'actually', 'get', 'perfect', 'cure', 'cancer', 'get', 'herbal', 'medication', 'dr', 'osoria', 'use', 'weeks', 'get', 'cure', 'totally', 'thank', 'doctor', 'love', 'im', 'also', 'glad', 'come', 'across', 'channel', 'youtube']"
comment : actually got perfect cure cancer got herbal medication dr osoria used weeks got cured totally thank doctor love im also glad came across channel youtube,"['comment', 'actually', 'get', 'perfect', 'cure', 'cancer', 'get', 'herbal', 'medication', 'dr', 'osoria', 'use', 'weeks', 'get', 'cure', 'totally', 'thank', 'doctor', 'love', 'im', 'also', 'glad', 'come', 'across', 'channel', 'youtube']"
comment : meeting dr osoria youtube one best days life years surfing finally cured hsv thanks doc deserve appreciate,"['comment', 'meet', 'dr', 'osoria', 'youtube', 'one', 'best', 'days', 'life', 'years', 'surf', 'finally', 'cure', 'hsv', 'thank', 'doc', 'deserve', 'appreciate']"
comment : meeting dr osoria youtube one best days life years surfing finally cured hsv thanks doc deserve appreciate,"['comment', 'meet', 'dr', 'osoria', 'youtube', 'one', 'best', 'days', 'life', 'years', 'surf', 'finally', 'cure', 'hsv', 'thank', 'doc', 'deserve', 'appreciate']"
comment : know im perfect habits got used got problems lungs cancer made weak confused thank god medication got dr osoria got cured promised,"['comment', 'know', 'im', 'perfect', 'habit', 'get', 'use', 'get', 'problems', 'lungs', 'cancer', 'make', 'weak', 'confuse', 'thank', 'god', 'medication', 'get', 'dr', 'osoria', 'get', 'cure', 'promise']"
comment : know im perfect habits got used got problems lungs cancer made weak confused thank god medication got dr osoria got cured promised,"['comment', 'know', 'im', 'perfect', 'habit', 'get', 'use', 'get', 'problems', 'lungs', 'cancer', 'make', 'weak', 'confuse', 'thank', 'god', 'medication', 'get', 'dr', 'osoria', 'get', 'cure', 'promise']"
comment : years looking cure finally found one help dr osoria youtube channel perfect herbal medication help cure cancer thanks,"['comment', 'years', 'look', 'cure', 'finally', 'find', 'one', 'help', 'dr', 'osoria', 'youtube', 'channel', 'perfect', 'herbal', 'medication', 'help', 'cure', 'cancer', 'thank']"
