Word,Count
[,1
'md,8
',54518
",",54439
'anderson,7
'treated,11
'brothers,8
'rare,8
'bladder,11
'cancer,1099
'grateful,20
'hes,74
'fine,30
'years,232
'later,35
'would,147
'xrays,3
'pick,4
'knee,5
'pain,72
'cap,5
'went,104
'see,146
'top,14
'specialist,5
'denver,1
'didnt,58
'anything,30
'said,99
'keeps,8
'bothering,1
'come,78
'back,126
'sounds,10
'like,289
'scope,1
'sure,55
'mri,13
'show,34
'regular,3
'little,33
'arthritis,2
'bad,71
'mom,60
'stage,113
'bone,25
'going,222
'survive,18
'long,64
'father,44
'diagnosed,126
'honestly,11
'lost,54
'words,19
'right,66
'ratio,3
'try,32
'using,41
'iodine,1
'killed,7
'thumb,2
'nail,4
'canceri,3
'applied,4
x,23
'wkin,1
'weeks,58
'anymore,10
'kept,11
'appliing,1
'monthshasnt,1
'came,57
'yet,25
'yri,1
'poured,2
'hand,13
'spell,1
'name,63
'drug,43
'stated,1
'working,17
'well,182
'congratulations,4
'man,83
'auntie,3
'suffering,37
'want,98
'help,197
'dont,149
'money,48
'love,457
'much,236
nan,205
'honest,3
'people,196
'mortality,2
'rate,14
'within,21
'depends,2
'based,7
'survivability,2
'every,105
'patients,41
'higher,3
'lesser,2
'suggest,5
'please,117
'follow,23
'doctor,161
'says,11
'something,62
'taken,14
'granted,5
'dad,39
'dedifferentiated,1
'condrosarcoma,1
'femur,3
'treatment,178
'options,12
'limited,3
'scary,18
'sir,12
'frnd,1
'also,206
'staze,1
b,21
'cured,125
'happening,15
'oh,35
'sad,89
'beat,89
'goku,15
'tho,20
'httpsyoutubefehftrwusimdghdupzsjja,1
'almighty,9
'god,526
'sick,33
'personlet,1
'worry,14
'trust,22
'youlord,1
'yeah,11
'graviola,3
'leaf,2
'capsule,2
'jason,1
'winters,1
'tea,4
'sage,1
'goodluck,1
'everyone,70
'pray,160
'high,29
'time,191
'reach,27
'drosuma,3
'kinds,8
'health,81
'issues,25
'herpes,20
'virus,56
'breath,9
'big,38
'thank,258
'making,24
'self,14
'pliz,1
'mother,38
'lil,9
'durk,1
'better,107
'thanks,107
'lot,67
'saving,10
'life,291
'deadly,13
'disease,83
'really,152
'happy,84
'able,55
'testify,5
'great,130
'herbs,75
'total,17
'cure,155
'give,96
'hope,276
'im,335
'glad,82
'met,16
'dr,329
'edoba,1
'youtube,136
'good,212
'friend,49
'mine,25
'recommended,14
'mei,1
'cant,52
'believe,67
'forever,26
'breast,192
'gone,38
'doc,14
'bro,25
'dislikes,3
'hi,35
'make,92
'project,1
'school,6
'someone,50
'distende,1
'recovered,5
'write,4
'diagnose,3
'ca,4
'metastasis,5
'axillary,1
'node,5
'momi,1
'surviveddie,1
'cancers,36
'mf,1
'though,45
'already,30
'lymph,21
'liver,19
'tried,22
'different,45
'drugs,88
'still,157
'spent,7
'process,23
'changes,5
'advised,3
'us,133
'herbal,179
'medicine,84
'told,91
'eden,1
'curing,22
'diseases,31
'products,21
'quickly,22
'contacted,24
'explain,9
'everything,70
'assured,4
'husband,106
'purchased,3
'serious,11
'dangerous,10
'actually,24
'got,292
'perfect,14
'medication,53
'osoria,11
'used,53
'totally,33
'across,36
'channel,61
'meeting,3
'one,188
'best,162
'days,80
'surfing,8
'finally,19
'hsv,13
'deserve,10
'appreciate,27
'know,265
'habits,3
'problems,21
'lungs,7
'made,53
'weak,13
'confused,5
'promised,4
'looking,38
'found,64
'similar,12
'past,31
'fixed,3
'httpscancerdoneblogspotcombreastcancercuredhtml,1
'moffitt,3
'centre,2
'published,2
'patient,17
'double,8
'blind,2
'trial,12
'supervised,1
'three,26
'medical,30
'professors,1
'intensity,1
'ultrasound,8
'clearing,2
'viruses,3
'works,24
'bacterial,4
'infections,10
'minute,2
'eg,1
w,7
'mhz,1
'inches,2
'root,7
'mans,3
'penis,1
'clears,1
'prostate,121
'session,3
'registered,2
'allowed,9
'research,22
'prescribe,3
'biochemical,2
'treatments,86
'four,13
'company,9
'ever,71
'nursing,2
'new,38
'improved,2
'defective,1
'fatal,2
'types,10
'medics,1
'scream,1
'share,36
'non,16
'native,1
'inflated,1
'cell,21
'structure,3
'plus,10
'viral,4
'sharing,133
'yall,9
'story,59
'strong,496
'beautiful,274
'ladies,3
'loved,31
'world,64
'gave,38
'begotten,3
'son,35
'whosoever,2
'believeth,2
'perish,2
'everlasting,3
'wife,30
'scared,29
'doctorpatrickelvis,4
'concerning,2
'autistic,3
'five,7
'sent,30
'medicines,7
'months,88
'free,94
'autism,3
'talks,4
'clearly,9
'eye,7
'contact,69
'play,9
'children,16
'verbal,2
'head,29
'hurts,7
'bitting,2
'clothes,3
'hands,15
'behave,4
'normal,23
'living,30
'fulfil,2
'httpsyoutubecomchannelucfapncmferchukryw,2
'bringing,9
'happiness,13
'wonders,3
'youre,58
'saint,1
'cherish,2
'drosoria,1
'get,368
'relationship,2
'anyone,54
'untill,2
'never,124
'knew,27
'emotionally,4
'igho,9
'helping,29
'sacred,1
'antidote,2
'removed,33
'gon,47
'na,65
'let,39
'way,142
'ugly,6
'thing,74
'choose,6
'positive,125
'lord,53
'side,51
'heart,121
'jesus,106
'wont,14
'happens,18
'may,109
'live,89
'earth,24
'go,183
'reward,2
'richly,1
'guys,79
'sour,1
'sop,1
'fruits,5
'recipes,1
'fully,10
'could,94
'morans,1
'adress,1
'nd,11
'pone,1
'noumber,1
'plese,1
'brest,2
'full,52
'legs,2
'swollen,4
'experience,22
'helped,31
'speed,6
'healing,103
'wonder,22
'might,20
'become,11
'hadnt,2
'bless,275
'naturally,9
'feel,96
'hard,71
'painful,17
'touch,10
'worst,23
'part,26
'assistant,2
'journey,131
'place,17
'difference,9
'introducing,2
'worlds,3
'humbly,1
'kind,44
'gesture,1
