Just an advertisement for this cancer clinic.,I once had cancer virus 🦠 for over 10 years and I visited so many States in the United States 🇺🇸 seeking for help but it was all leading to spending of thousands of dollars until I was watching a YouTube series and I came across Dr. Emovon on YouTube ads and I decided to order his herbal medication and today I'm fully well from this problems. #dremovon..🙏🙏,have u guys some news,I have a biopsy Thursday and it’s really scary. Thank you for sharing your story ❤,Sadge,But in reality they are useless. Speaking from experience with 3 family members who had and fought cancer I can say that Macmillan did NOT give them any support. I would never give them a penny.,Lord God and angels is with you,Get your PSA tests done. Don't wait.,Dr Ozuka on YouTube has a permanent cure with his herbal medicine,Is this woman still alive?  This was made 9 years ago and pancreatic cancer is not as curable as she claimed.  It's one of the most difficult cancers to treat.,😢😢😢 hope u recover soon
MD Anderson treated my brother's rare bladder cancer and I am so grateful for that. He's doing fine 20 years later. :),,,,,,,,,,
Would x-rays pick up any cancer in the knee?  I have had knee pain just below the knee cap and went to see a top knee specialist in Denver but they didn't see anything on the x-rays but they said if it keeps bothering me to come back.  It sounds like they would do a knee scope.  Not sure they would do an MRI.  So does all the cancer show up on regular x-rays?  I do have a little arthritis but it is not too bad.,,,,,,,,,,
My mom she has a 4 stage bone cancer is she going to survive for how long 😢,,,,,,,,,,
My father was diagnosed with bone cancer and I’m honestly lost for words right now,,,,,,,,,,
Ratio,,,,,,,,,,
Try using iodine it killed my thumb nail cancer.i applied 2x a wk.in 3 weeks i didnt see it anymore kept appliing for 3 months.hasnt came back yet its been a yr.i poured it all over my hand not just my thumb,,,,,,,,,,
Can you spell the name of the drug that you stated was working well for you? Congratulations!,,,,,,,,,,
How is this man doing?,,,,,,,,,,
My auntie is suffering now in bone cancer.. I want to help her but I don't have money.. how can I do .. I love her very much,,,,,,,,,,
No I am not ❤️,,,,,,,,,,
"To be honest, people who were diagnosed with bone cancer has a mortality rate of within 5 years, and it depends on its stage. It is based on the survivability of every bone cancer patients. The higher the stage of the cancer the lesser the survivability rate and i would suggest that if you are diagnosed with bone cancer, please follow what your doctor says, it's not something that can be taken for granted.",,,,,,,,,,
My dad is suffering from dedifferentiated condrosarcoma in right femur. Treatment options are limited and scary.,,,,,,,,,,
sir my frnd is also suffering from bone cancer in staze 3 can this can b cured.,,,,,,,,,,
,Why is this happening,,,,,,,,,
,Why oh why,,,,,,,,,
,How sad,,,,,,,,,
,Can she beat goku tho,,,,,,,,,
,https://youtu.be/FeHF59TRW4U?si=1mdgHD9U0-pzsjja,,,,,,,,,
,"Almighty God, help every sick person....let them not worry and trust in you.Lord🙏🙏🙏🙏",,,,,,,,,
,Yeah but can they beat goku?,,,,,,,,,
,"Graviola leaf Capsule does it or Sir Jason Winters Tea with Sage, goodluck everyone.",,,,,,,,,
,Please pray for my mom 😓😓,,,,,,,,,
,It’s high time everyone reach out to #drosuma for all kinds of health issues such as herpes virus ! Bad breath! Cancer ! A very big thank you for making me be my self ...,,,,,,,,,
,can she beat goku tho?,,,,,,,,,
,Can she beat goku tho??????,,,,,,,,,
,Pliz pray for my mother 😢,,,,,,,,,
,lil durk better,,,,,,,,,
,"Thanks a lot for saving my life from deadly cancer disease am really happy to be able to testify of how great herbs can be , follow #drosuma for total cure",,,,,,,,,
,Can they beat goku tho?,,,,,,,,,
,"Thank you so much 
You give me hope🌏 
To beat up my Cancer",,,,,,,,,
,"I'm so glad I met Dr Edoba on YouTube a good friend of mine recommended him to me,I can't believe am cured of this forever, now my breast cancer is gone for life😊. 
Thanks Doc ❤️",,,,,,,,,
,Please have a long life,,,,,,,,,
,bro why are there 271 dislikes💀💀💀,,,,,,,,,
,Hi I have to make an project in school about someone distende they recovered it like you and I will write about you❤❤❤❤❤❤❤❤🤍,,,,,,,,,
,My mother is diagnose with Ca breast metastasis to axillary  node. Please pray for my Mother 🙏,,,,,,,,,
,"The comments:

90%- My mom/I survived/die from breast cancer
9%- I hope all people who have cancers survive 🙏🙏















That 1% Mf: ""Can she beat Goku though?""",,,,,,,,,
,"The cancer already in lymph node and liver, we tried different drugs and treatment but it was still not working, we spent a lot of money on the process still no changes until a friend of mine advised us to try herbal medicine, she told me about Dr. Eden and how he has been curing people from cancer and other deadly diseases with his herbal products, so we quickly contacted him and explain everything to him and he assured us that his herbal products can cure my husband so we purchased.",,,,,,,,,
,is cancer stage 2 serious or dangerous ???,,,,,,,,,
,"where I actually got the perfect cure to my cancer. I got my herbal medication from Dr osoria , I used it for just 2 weeks and I got cured totally . Thank you Doctor . I love you . I'm also glad that I came across your channel on YouTube",,,,,,,,,
,"where I actually got the perfect cure to my cancer. I got my herbal medication from Dr osoria , I used it for just 2 weeks and I got cured totally . Thank you Doctor . I love you . I'm also glad that I came across your channel on YouTube",,,,,,,,,
,Meeting Dr osoria on YouTube has been one of the best days of my life after years of surfing I have been finally cured from HSV1. Thanks doc you deserve more than and appreciate,,,,,,,,,
,Meeting Dr osoria on YouTube has been one of the best days of my life after years of surfing I have been finally cured from HSV1. Thanks doc you deserve more than and appreciate,,,,,,,,,
,"I know I'm not perfect I have some habits I got used to , I got some problems of a lungs cancer which made me so weak and confused but thank God that the medication I got from Dr osoria got me cured just as he promised",,,,,,,,,
,"I know I'm not perfect I have some habits I got used to , I got some problems of a lungs cancer which made me so weak and confused but thank God that the medication I got from Dr osoria got me cured just as he promised",,,,,,,,,
,After all the years of looking for cure I finally found one by the help of Dr osoria on youtube channel he has perfect herbal medication to help cure cancer thanks  ..,,,,,,,,,
,After all the years of looking for cure I finally found one by the help of Dr osoria on youtube channel he has perfect herbal medication to help cure cancer thanks  ..,,,,,,,,,
,I was suffering from similar issues in the past but I'm glad it has been fixed by dr Osoria,,,,,,,,,
,I was suffering from similar issues in the past but I'm glad it has been fixed by dr Osoria,,,,,,,,,
,"all cancers cured.
https://cancerdone.blogspot.com/2022/10/breast-cancer-cured.html
	In 2002 the Moffitt cancer centre published 100 patient double blind trial, supervised by three medical professors, into High Intensity UltraSound and clearing cancer and viruses.  It also works for bacterial infections.
	1 minute of e.g. 8 W 1 MHz ultrasound and 1.5 inches above the root of a man's penis.  Clears prostate cancer at one session.  No registered Dr. Was any more allowed to research or prescribe biochemical treatments four prostate cancer.  2022 and the drug company is are for ever and nursing new improved biochemical treatments four prostate cancer.
	There are no registered Dr. Is allowed to research and such defective and fatal medicine.  It works for all 200 types of cancer out there: medics scream, not my cancers!
	It works for all 200 cancers out there.  Which share a non native inflated cell structure we're all cancers, plus viral and bacterial infections.
1	H₂O+P+HIUS→He+O+E²+X-ray",,,,,,,,,
,Thanks for sharing YALL story YALL are strong beautiful ladies❤,,,,,,,,,
,"For God so loved the world, that he gave his only begotten Son, that whosoever believeth in him should not perish, but have everlasting life",,,,,,,,,
,my wife has it i am scared but i cant show her that .,,,,,,,,,
,"God is so great, I contacted #Doctorpatrickelvis concerning my son who is autistic for the past five years now, he sent me his medicines and I used it for one months, my son is now free from autism, he can now talks clearly, have good eye contact, he love to play with other children, he is now verbal, no more head hurts, no more bitting his clothes and hands, he now behave normal living a fulfil life 
https://youtube.com/channel/UCF6ApnCmFERcH1U7kry47_w
#Doctorpatrickelvis",,,,,,,,,
,"God is so great, I contacted #Doctorpatrickelvis concerning my son who is autistic for the past five years now, he sent me his medicines and I used it for one months, my son is now free from autism, he can now talks clearly, have good eye contact, he love to play with other children, he is now verbal, no more head hurts, no more bitting his clothes and hands, he now behave normal living a fulfil life 
https://youtube.com/channel/UCF6ApnCmFERcH1U7kry47_w
#Doctorpatrickelvis",,,,,,,,,
,Would love to appreciate Dr osoria for bringing back happiness to my life with he's herbal wonder's you're a saint and I cherish our meeting you're good #drosoria,,,,,,,,,
,"I have been really scared to get in to a relationship with anyone again, untill i Get cured.  i never knew herpes was very deadly, It Hurts the most emotionally, Thanks to Dr igho channel for helping me with the sacred Antidote.",,,,,,,,,
,ratio,,,,,,,,,
,"I just had my right breast removed on 7/27/22. I had cancer. I am not gonna let it get in my way. I am going to beat this ugly thing. I choose to be positive and believe that the Lord is by my side. You have to believe it, in your heart, or Jesus won't help you. Give it all to the Lord and see what happens. You may live on this earth or you may go to live with our great Lord.",,,,,,,,,
