Text,Tokenized,Cleaned_Tokens,Sentiment
lord god angels,"['lord', 'god', 'angels']","['lord', 'god', 'angel']",1
blessings iv hated needles young strong im fortys best thing positive got,"['blessings', 'iv', 'hated', 'needles', 'young', 'strong', 'im', 'fortys', 'best', 'thing', 'positive', 'got']","['blessing', 'hated', 'needle', 'young', 'strong', 'forty', 'best', 'thing', 'positive', 'got']",2
stage 4 small cell stage 5 3 1 2 years took 16 chemo 52 immune therapies reason stopped hands feet broke look like burned lived 6 months popcorn today 230 pounds eating mexican food cancer demon used much prayer caring wife good oncologist healing got spirit fight loved ones live,"['stage', 'small', 'cell', 'stage', 'years', 'took', '16', 'chemo', '52', 'immune', 'therapies', 'reason', 'stopped', 'hands', 'feet', 'broke', 'look', 'like', 'burned', 'lived', 'months', 'popcorn', 'today', '230', 'pounds', 'eating', 'mexican', 'food', 'cancer', 'demon', 'used', 'much', 'prayer', 'caring', 'wife', 'good', 'oncologist', 'healing', 'got', 'spirit', 'fight', 'loved', 'ones', 'live']","['stage', 'small', 'cell', 'stage', 'year', 'took', 'chemo', 'immune', 'therapy', 'reason', 'stopped', 'hand', 'foot', 'broke', 'look', 'like', 'burned', 'lived', 'month', 'popcorn', 'today', '230', 'pound', 'eating', 'mexican', 'food', 'cancer', 'demon', 'used', 'much', 'prayer', 'caring', 'wife', 'good', 'oncologist', 'healing', 'got', 'spirit', 'fight', 'loved', 'one', 'live']",2
get well soon,"['get', 'well', 'soon']","['get', 'well', 'soon']",1
get well soon,"['get', 'well', 'soon']","['get', 'well', 'soon']",1
please ead fine father strong man surgery colon rectal cancer died lot suffering three months doctor thought cancer wanted operate already studied lot cancer refused operation doctor told back six months 14 years active life passed want beat cancer 1 chemotherapy means destroy cancer cells also many healthy cells need bad thing may destroy immune system one tells body cancer knows fight cancer 2 radiotherapy well known cause cancer underlying idea cancer cells die true destroys also turn healthy cells new cancer cells hope follow radiation therapy doses radiation precise targeted cancer 3 surgery solution often spreads cancer parts thus creates new cancers 1 prayer god yes god really exists asks us love people good deeds 2 search persistently sins mistakes look excuses value god considers deserve forgiven hide behind exchuses like anything others searched sins mistakes several months 3 stop eating meat sweets easier think 4 daily half liter beetroot juice 5 seeds kinds 6 cancer tragedy fight calmly moderate action 7 would good strength follow treatment rudolf breuss sure help please god healthy,"['please', 'ead', 'fine', 'father', 'strong', 'man', 'surgery', 'colon', 'rectal', 'cancer', 'died', 'lot', 'suffering', 'three', 'months', 'doctor', 'thought', 'cancer', 'wanted', 'operate', 'already', 'studied', 'lot', 'cancer', 'refused', 'operation', 'doctor', 'told', 'back', 'six', 'months', '14', 'years', 'active', 'life', 'passed', 'want', 'beat', 'cancer', 'chemotherapy', 'means', 'destroy', 'cancer', 'cells', 'also', 'many', 'healthy', 'cells', 'need', 'bad', 'thing', 'may', 'destroy', 'immune', 'system', 'one', 'tells', 'body', 'cancer', 'knows', 'fight', 'cancer', 'radiotherapy', 'well', 'known', 'cause', 'cancer', 'underlying', 'idea', 'cancer', 'cells', 'die', 'true', 'destroys', 'also', 'turn', 'healthy', 'cells', 'new', 'cancer', 'cells', 'hope', 'follow', 'radiation', 'therapy', 'doses', 'radiation', 'precise', 'targeted', 'cancer', 'surgery', 'solution', 'often', 'spreads', 'cancer', 'parts', 'thus', 'creates', 'new', 'cancers', 'prayer', 'god', 'yes', 'god', 'really', 'exists', 'asks', 'us', 'love', 'people', 'good', 'deeds', 'search', 'persistently', 'sins', 'mistakes', 'look', 'excuses', 'value', 'god', 'considers', 'deserve', 'forgiven', 'hide', 'behind', 'exchuses', 'like', 'anything', 'others', 'searched', 'sins', 'mistakes', 'several', 'months', 'stop', 'eating', 'meat', 'sweets', 'easier', 'think', 'daily', 'half', 'liter', 'beetroot', 'juice', 'seeds', 'kinds', 'cancer', 'tragedy', 'fight', 'calmly', 'moderate', 'action', 'would', 'good', 'strength', 'follow', 'treatment', 'rudolf', 'breuss', 'sure', 'help', 'please', 'god', 'healthy']","['please', 'ead', 'fine', 'father', 'strong', 'man', 'surgery', 'colon', 'rectal', 'cancer', 'died', 'lot', 'suffering', 'three', 'month', 'doctor', 'thought', 'cancer', 'wanted', 'operate', 'already', 'studied', 'lot', 'cancer', 'refused', 'operation', 'doctor', 'told', 'back', 'six', 'month', 'year', 'active', 'life', 'passed', 'want', 'beat', 'cancer', 'chemotherapy', 'mean', 'destroy', 'cancer', 'cell', 'also', 'many', 'healthy', 'cell', 'need', 'bad', 'thing', 'may', 'destroy', 'immune', 'system', 'one', 'tell', 'body', 'cancer', 'know', 'fight', 'cancer', 'radiotherapy', 'well', 'known', 'cause', 'cancer', 'underlying', 'idea', 'cancer', 'cell', 'die', 'true', 'destroys', 'also', 'turn', 'healthy', 'cell', 'new', 'cancer', 'cell', 'hope', 'follow', 'radiation', 'therapy', 'dos', 'radiation', 'precise', 'targeted', 'cancer', 'surgery', 'solution', 'often', 'spread', 'cancer', 'part', 'thus', 'creates', 'new', 'cancer', 'prayer', 'god', 'yes', 'god', 'really', 'exists', 'asks', 'love', 'people', 'good', 'deed', 'search', 'persistently', 'sin', 'mistake', 'look', 'excuse', 'value', 'god', 'considers', 'deserve', 'forgiven', 'hide', 'behind', 'exchuses', 'like', 'anything', 'others', 'searched', 'sin', 'mistake', 'several', 'month', 'stop', 'eating', 'meat', 'sweet', 'easier', 'think', 'daily', 'half', 'liter', 'beetroot', 'juice', 'seed', 'kind', 'cancer', 'tragedy', 'fight', 'calmly', 'moderate', 'action', 'would', 'good', 'strength', 'follow', 'treatment', 'rudolf', 'breuss', 'sure', 'help', 'please', 'god', 'healthy']",2
delia ask type cancer,"['delia', 'ask', 'type', 'cancer']","['delia', 'ask', 'type', 'cancer']",1
got bowl cancer redoaion painful sad happy go lucky,"['got', 'bowl', 'cancer', 'redoaion', 'painful', 'sad', 'happy', 'go', 'lucky']","['got', 'bowl', 'cancer', 'redoaion', 'painful', 'sad', 'happy', 'lucky']",1
done well hours,"['done', 'well', 'hours']","['done', 'well', 'hour']",1
get nails done,"['get', 'nails', 'done']","['get', 'nail', 'done']",1
hope got rid still got happy god bless friends,"['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friends']","['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friend']",3
hi baby going though thing glad contacted day great help lov best friend cancer spread life,"['hi', 'baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']","['baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']",3
sorry go know going wish best journey,"['sorry', 'go', 'know', 'going', 'wish', 'best', 'journey']","['sorry', 'know', 'going', 'wish', 'best', 'journey']",2
ciento mucho el proselitismo pero ay dios va ayudarte poderoso,"['ciento', 'mucho', 'el', 'proselitismo', 'pero', 'ay', 'dios', 'va', 'ayudarte', 'poderoso']","['ciento', 'mucho', 'proselitismo', 'pero', 'dios', 'ayudarte', 'poderoso']",1
curry blake jglm ministries changed life hope able change well,"['curry', 'blake', 'jglm', 'ministries', 'changed', 'life', 'hope', 'able', 'change', 'well']","['curry', 'blake', 'jglm', 'ministry', 'changed', 'life', 'hope', 'able', 'change', 'well']",2
manage hair loss,"['manage', 'hair', 'loss']","['manage', 'hair', 'loss']",1
sorry hear cancer type cancer battling,"['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']","['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']",0
