Cleaned_Tokens,Sentiment
"['lord', 'god', 'angel']",4
"['blessing', 'hated', 'needle', 'young', 'strong', 'forty', 'best', 'thing', 'positive', 'got']",4
"['stage', 'small', 'cell', 'stage', 'year', 'took', 'chemo', 'immune', 'therapy', 'reason', 'stopped', 'hand', 'foot', 'broke', 'look', 'like', 'burned', 'lived', 'month', 'popcorn', 'today', '230', 'pound', 'eating', 'mexican', 'food', 'cancer', 'demon', 'used', 'much', 'prayer', 'caring', 'wife', 'good', 'oncologist', 'healing', 'got', 'spirit', 'fight', 'loved', 'one', 'live']",4
"['get', 'well', 'soon']",4
"['get', 'well', 'soon']",4
"['please', 'ead', 'fine', 'father', 'strong', 'man', 'surgery', 'colon', 'rectal', 'cancer', 'died', 'lot', 'suffering', 'three', 'month', 'doctor', 'thought', 'cancer', 'wanted', 'operate', 'already', 'studied', 'lot', 'cancer', 'refused', 'operation', 'doctor', 'told', 'back', 'six', 'month', 'year', 'active', 'life', 'passed', 'want', 'beat', 'cancer', 'chemotherapy', 'mean', 'destroy', 'cancer', 'cell', 'also', 'many', 'healthy', 'cell', 'need', 'bad', 'thing', 'may', 'destroy', 'immune', 'system', 'one', 'tell', 'body', 'cancer', 'know', 'fight', 'cancer', 'radiotherapy', 'well', 'known', 'cause', 'cancer', 'underlying', 'idea', 'cancer', 'cell', 'die', 'true', 'destroys', 'also', 'turn', 'healthy', 'cell', 'new', 'cancer', 'cell', 'hope', 'follow', 'radiation', 'therapy', 'dos', 'radiation', 'precise', 'targeted', 'cancer', 'surgery', 'solution', 'often', 'spread', 'cancer', 'part', 'thus', 'creates', 'new', 'cancer', 'prayer', 'god', 'yes', 'god', 'really', 'exists', 'asks', 'love', 'people', 'good', 'deed', 'search', 'persistently', 'sin', 'mistake', 'look', 'excuse', 'value', 'god', 'considers', 'deserve', 'forgiven', 'hide', 'behind', 'exchuses', 'like', 'anything', 'others', 'searched', 'sin', 'mistake', 'several', 'month', 'stop', 'eating', 'meat', 'sweet', 'easier', 'think', 'daily', 'half', 'liter', 'beetroot', 'juice', 'seed', 'kind', 'cancer', 'tragedy', 'fight', 'calmly', 'moderate', 'action', 'would', 'good', 'strength', 'follow', 'treatment', 'rudolf', 'breuss', 'sure', 'help', 'please', 'god', 'healthy']",4
"['delia', 'ask', 'type', 'cancer']",4
"['got', 'bowl', 'cancer', 'redoaion', 'painful', 'sad', 'happy', 'lucky']",4
"['done', 'well', 'hour']",4
"['get', 'nail', 'done']",4
"['hope', 'got', 'rid', 'still', 'got', 'happy', 'god', 'bless', 'friend']",4
"['baby', 'going', 'though', 'thing', 'glad', 'contacted', 'day', 'great', 'help', 'lov', 'best', 'friend', 'cancer', 'spread', 'life']",4
"['sorry', 'know', 'going', 'wish', 'best', 'journey']",4
"['ciento', 'mucho', 'proselitismo', 'pero', 'dios', 'ayudarte', 'poderoso']",4
"['curry', 'blake', 'jglm', 'ministry', 'changed', 'life', 'hope', 'able', 'change', 'well']",4
"['manage', 'hair', 'loss']",4
"['sorry', 'hear', 'cancer', 'type', 'cancer', 'battling']",4
"['thank', 'much', 'sharing', 'really', 'brave']",4
"['radiation', 'chemos', 'done', 'lost', 'pound', 'come', 'back', 'cancer', 'behind', 'win']",4
"['infusion', 'nothing', 'ordeal', 'come', 'afterwards', 'begin', 'deal', 'side', 'effect', 'chemo', 'neuropathy', 'nausea', 'diarrhea', 'acid', 'reflux', 'infinitum', 'experience', 'discomfort', 'sensation', 'acquired', 'language', 'describe', 'exactly', 'pain', 'exactly', 'pressure', 'exactly', 'nausea', 'exactly', 'know', 'explain', 'really', 'symptom', 'caused', 'disease', 'cure']",4
"['way', 'young', 'thu', 'need', 'disclose', 'causing', 'cancer']",4
"['death', 'rate', 'chemotherapy', 'google', 'friend', 'died', 'heart', 'attack', 'cardio', 'toxicity', 'chemo']",4
"['pomegranate', 'kill', 'cancer', 'cell', 'kiwi', 'fruit', 'great', 'garlic', 'good', 'fish', 'oil', 'great', 'also']",4
"['start', 'process', 'never', 'seen', 'port', 'thank', 'sharing']",4
"['belive', 'jesus', 'medicine']",4
"['itzzz', 'shee', 'good']",4
"['ugh', 'breast', 'cancer', 'would', 'sack', 'cancer', 'waiting', 'happen', 'cut', 'altogether', 'prophylactic', 'measure', 'scared', 'surgery', 'would', 'get', 'insurance', 'cover', 'claiming', 'non', 'binary', 'trans', 'identity', 'disgustingly', 'fat', 'skinny', 'body', 'anyway']",4
"['hospice', 'industry', 'year', 'people', 'live', 'longer', 'chemo', 'unless', 'cancer', 'vital', 'organ', 'heart', 'lung', 'brain', 'chemo', 'cause', 'mets']",4
"['may', 'recover', 'fast']",4
"['stop', 'cancer', 'track', 'stop', 'eating', 'sugar', 'drink', 'hot', 'water', 'fresh', 'squeezed', 'lemon', 'juice', 'month']",4
"['eat', 'apricot', 'seed', 'cure', 'cancer']",4
"['ela', 'faleceu']",4
"['may', 'god', 'bless', 'cancer', 'thank', 'god', 'bad', 'never', 'chemo', 'radiation', 'kind', 'stuff', 'may', 'god', 'bless', 'brave', 'person', 'get', 'lot', 'love', 'hope', 'god', 'get', 'young', 'world', 'cruel', 'like', 'everything', 'poison', 'soil', 'water', 'even', 'imagine', 'really', 'god', 'bless', '100', 'time']",4
"['went', 'chemo', 'radiation', 'breast', 'cancer', 'supposed', 'infusion', 'sick', 'could', 'supposed', 'week', 'chemo', 'allergic', 'drug', 'also', 'radiation', 'treatment']",4
"['ask', 'jesus', 'forgive', 'sin', 'heal']",4
"['praying', 'healing', 'first', 'time', 'channel', 'god', 'husband']",4
"['hope', 'feeling', 'good']",4
"['tesò', 'fatto', 'flebo', 'trattamenti', 'radio', 'tutto', 'nel', '2017', 'per', 'anni', 'ormone', 'terapia', 'sono', 'trascorsi', 'ben', 'anni', 'adesso', 'nuovamente', 'ciclo', 'sto', 'bene', 'aver', 'sofferto', 'non', 'dimentica', 'bisogna', 'avere', 'tanto', 'coraggio', 'fede', 'sono', 'sposata', 'abbiamo', 'una', 'figlia', 'anni', 'viva', 'vita']",4
"['wife', 'cancer', 'port', 'became', 'expert', 'feeding', 'cleaning', 'port', 'botched', 'gallbladder', 'surgery', 'took', 'year', 'passed', 'miss', 'today', 'passed', 'video', 'popped', 'feed', 'look', 'like', 'came', 'back', 'month', 'hospital', 'time', 'taking', 'care', 'feeding', 'port', 'pray', 'husband', 'wife', 'passed', 'year', 'ago', 'woman', 'ever', 'love', 'hospital', 'visit', 'time', 'kind', 'hard', 'would', 'gladly', 'spend', 'hospital', 'visit', 'matter', 'long', 'boring', 'presence', 'beautiful', 'wife', 'god', 'bless']",4
"['cancer', 'devil', 'disease', 'cure']",4
"['caraaaa', 'stella']",4
"['never', 'someone', 'accompany', 'treatment', 'would', 'nice']",4
"['update', 'delia', 'still', 'praying']",4
"['wonder', 'much', 'injection', 'chemo', 'cost', 'sad', 'imagine', 'merica', 'dam', 'greedy', 'healthcare', 'system', 'truly', 'heart', 'breaking']",4
"['love', 'support', 'young', 'sarah', 'mcwilliams']",4
"['thank', 'much', 'sharing', 'story', 'undergo', 'chemo', 'radiation', 'hodgkin', 'lymphoma', 'seeing', 'undergoing', 'chemo', 'session', 'informative', 'help', 'take', 'away', 'fear', 'unknown', 'hope', 'well', 'continue', 'strong']",4
"['update', 'health', 'hope', 'shes', 'well']",4
"['although', 'survived', 'chemo', 'radiation', 'almost', 'year', 'ago', 'aged', 'radiation', 'induced', 'cardiac', 'problem', 'well', 'gonad', 'failure', 'really', 'getting', 'tired']",4
"['critical', 'moment', 'try', 'ask', 'help', 'allah', 'alone']",4
"['life', 'short', 'test', 'plss', 'die', 'none', 'muslim', 'everything', 'leaving', 'god', 'allah', 'never', 'leaving', 'love', 'love', 'prophet', 'adem', 'noah', 'ibraham', 'sulomon', 'gautam', 'krisna', 'moses', 'jesus', 'muhammad', '124', '000', 'prophet', 'messenger', 'muslim']",4
"['medication', 'stem', 'cell', 'transplant', 'year', 'ago', 'feel', 'normal', 'keep', 'fighting']",4
"['thank', 'much', 'sharing', 'story', 'mean', 'much', 'people', 'diagnosed', 'scared', 'unknown', 'know', 'easy', 'fun', 'strength', 'give', 'everyone', 'much', 'hope']",4
"['alot', 'braver']",4
"['beautiful', 'getting', 'chemo']",4
"['look', 'pretty', 'disease']",4
"['brother', 'diagnosed', 'rare', 'cancer', 'last', 'week', '27years', 'old', 'fibrolamellar', 'rare', 'cancer', 'kid', 'youth', 'adult', 'exposed', 'get', 'understand', 'whyyy', 'brother', 'healthy', 'stage', 'advance', 'family', 'life', 'change', 'second', 'pray', 'god', 'every', 'single', 'day', 'lord', 'jesus', 'pls', 'lord', 'help', 'brother', 'young', 'doctor', 'know', 'nothing', 'cancer', 'anyone', 'know', 'specialist', 'rare', 'cancer', 'pls', 'let', 'know', 'asking', 'player', 'brother', 'david']",4
"['get', 'well', 'soon', 'saying', 'prayer']",4
"['yesterday', 'hospital', 'exactly', 'port', 'exactly', 'chemo']",4
['tchandana'],4
"['prayer', 'sister']",4
"['thank', 'video', 'get', 'well', 'soon']",4
"['gute', 'besserung', 'welchen', 'krebs', 'hatten', 'sie']",4
"['sister', 'dead', 'previous', 'year', 'breast', 'cancer', 'fully', 'broke', 'life']",4
"['http', 'www', 'youtube', 'com', 'watch', 'toz41utt']",4
"['girlfriend', 'suffering', 'cancer']",4
"['god', 'bless', 'young', 'pray', 'fast', 'recovery']",4
"['may', 'god', 'heal']",4
"['unfortunately', 'treatment', 'personal', 'alone', 'experience', 'plus', 'percent', 'treatment', 'since', '2014', 'strange', 'wife', 'actually']",4
"['brave', 'soul', 'great', 'aid', 'kill', 'cancer', 'cell', 'would', 'cyanide', 'molecule', 'found', 'apricot', 'seed', 'derivitives', 'amygdala', 'pill', 'laetrile', 'serum', 'derived', 'apricot', 'seed', 'cyanide', 'break', 'free', 'three', 'molecule', 'attached', 'presence', 'cancer', 'cell', 'otherwise', 'four', 'molecule', 'group', 'pass', 'harmlessly', 'body', 'phillip', 'bissell', 'book', 'alive', 'well', 'show', '300', 'patient', 'success', 'excerpt', 'found', 'internet', 'god', 'bless']",4
"['stay', 'strong', 'tough', 'god', 'bless']",4
"['steroid', 'appetite', 'die', 'allergic', 'reaction', 'allergic', 'reaction']",4
"['red', 'devil', 'doxyrubsin', 'nasty', 'customer', 'strongest', 'toxic', 'around']",4
"['diagnosed', 'uterine', 'cervical', 'cancer', 'power', 'port', 'put', 'last', 'week', '1st', 'chemo', 'treatment', 'tomorrow', 'june', '30th', 'lucky', 'somebody', 'family', 'talk', 'friend', 'going', 'alone', 'mom', 'would', 'lost', '2016', 'august', '1st', 'last', 'chemo', 'treatment', 'august', '11th', 'scan', 'tumor', 'shrunk', 'surgery', 'hysterectomy', 'another', 'round', 'chemo', 'every', 'week', 'month', 'total', 'chemo', 'idk', 'stay', 'positive', 'scared', 'crapless', 'know', 'expect', 'suffer', 'high', 'anxiety', 'already', 'getting', 'heartburn', 'eating', 'tum', 'like', 'candy', 'pray', 'fully', 'recover', 'thankfully', 'mine', 'caught', 'early', 'due', 'pelvic', 'exam', 'lady', 'please', 'forget', 'could', 'save', 'life', 'like', 'mine', 'going', 'lose', 'hair', 'tho', 'waist', 'length', 'bald', 'birthday', 'crap', 'hey', 'least', 'grow', 'back', 'lucky', 'survive']",4
"['strong', 'drug', 'pray']",4
"['chemotherapy', 'kill', 'faster']",4
"['god', 'bless', 'beautiful', 'lady']",4
"['wonderful', 'opportunity', 'ask', 'private', 'room', 'chemo', 'stage', 'blood', 'cancer', 'immune', 'system', 'totally', 'depleted', 'neutrophil', 'granulocyte', 'low', 'leukocyte', 'chemo', 'treatment', 'yet', 'chemo', 'infusion', 'texas', 'oncology', 'clinic', 'one', 'wear', 'mask', 'expected', 'sit', 'general', 'waiting', 'room', 'crammed', 'full', 'people', 'wear', 'mask', 'crammed', 'smaller', 'infusion', 'room', 'sitting', 'elbow', 'elbow', 'people', 'getting', 'fluid', 'iron', 'infusion', 'one', 'wearing', 'mask', 'including', 'oncology', 'nurse', 'rest', 'staff', 'totally', 'mind', 'boggling', 'time', 'feel', 'unprotected', 'unsafe', 'oncology', 'clinic', 'cancer', 'treatment']",4
"['round', 'extreme', 'chemo', 'last', 'year', 'year', 'chemo', 'help', 'targeted', 'therapy', 'infusion', 'every', 'week', 'till', 'end']",4
"['nikola', 'tesla', 'right', 'http', 'youtu', 'mbl9ps6gmda']",4
['cancer'],4
"['soo', 'proud']",4
"['feel', 'pain']",4
"['quick', 'note', 'yuck', 'taste', 'saline', 'flush', 'australia', 'use', 'pre', 'drawn', 'syrinx', 'saline', 'often', 'see', 'american', 'canadian', 'video', 'draw', 'saline', 'ampoule', 'seems', 'plastic', 'leech', 'saline', 'much', 'asked', 'heap', 'patient', 'said', 'strange', 'taste', 'subtle', 'theory', 'pre', 'drawn', 'saline', 'absorbs', 'little', 'bit', 'stuff', 'syringe', 'plastic', 'give', 'adult', 'taste']",4
"['different', 'process', 'work', 'australia', 'essential', 'part', 'sending', 'lot', 'love', 'good', 'energy', 'rest', 'journey']",4
"['right', 'nothing', 'nasty', 'tasting', 'chemical', 'tasting', 'saline', 'taste', 'never', 'forget', 'also', 'fortunate', 'ability', 'request', 'room', 'infusion', 'clinic', 'chair', 'slammed', 'close', 'together', 'elbow', 'elbow', 'top', 'texas', 'one', 'belief', 'wearing', 'mask', 'even', 'oncology', 'clinic', 'cancer', 'patient', 'cancer', 'patient', 'guest', 'required', 'wear', 'mask', 'either']",4
"['god', 'please', 'help', 'girl', 'jesus', 'name', 'amen']",4
"['spero', 'sei', 'guarita']",4
"['wish', 'could', 'afford', 'anderson', 'die', 'wishing']",4
"['chemo', 'toxic', 'poison']",4
"['seek', 'experience', 'healing', 'grace', 'jesus', 'hun']",4
"['look', 'laetrile', 'mebendazole', 'ivermectin', 'heard', 'lot', 'people', 'beating', 'cancer', 'medicine']",4
"['hello', 'health', 'wish', 'speedy', 'recovery', 'drug', 'available', 'state', 'treatment', 'cancer', 'chemotherapy', 'treatment', 'chemotherapy', 'heard', 'immunotherapy', 'treatment', 'hospital', 'provide', 'treatment', 'also', 'age', 'play', 'important', 'factor']",4
"['health', 'wish', 'speedy', 'recovery']",4
"['fuk', 'fuk', 'fuk', 'cancer']",4
"['found', 'cancer', 'feed', 'sugar']",4
"['found', 'cancer', 'chemo', 'going', 'home', 'jesus']",4
"['dad', 'went', 'first', 'chemo', 'infusion', 'adriamycin', 'cytoxan', 'bad', 'effect', 'afterwards', 'rest', 'treatment', 'switched', 'taxol', 'middle', 'chemo', 'treatment', 'sister', 'went', 'first', 'one', 'went', 'back', 'time', 'treatment', 'moffitt', 'tampa', 'blood', 'draw', 'doctor', 'visit', 'infusion', 'later', 'day', 'went', 'hard', 'rock', 'casino', 'played', 'around', 'month', 'chemo', 'lumpectomy', 'radiation', 'treatment', 'dancing', 'ned', 'full', 'year', 'stage', 'triple', 'negative', 'diagnosed', 'actually', 'moffitt', 'today', 'survivorship', 'visit', 'hang', 'lady']",4
"['chemo', 'leaf', 'toxic', 'waste', 'body', 'please', 'drink', 'lot', 'kangen', 'water', 'detox']",4
"['guanabana', '1000', 'time', 'better', 'chemo', 'chemo', 'success', 'rate', 'complete', 'scam']",4
"['may', 'god', 'bless', 'sweetie', 'praying', 'amen']",4
"['hope', 'well']",4
"['wish', 'better', 'health']",4
"['red', 'lady', 'death', '2003', 'hodgkin', 'unfortunately', 'getting', 'via', 'line', 'arm', 'got', 'picc', 'hickman', 'hope', 'cured']",4
"['jesus', 'christ', 'love']",4
"['best', 'thing', 'drink']",4
