data,tokens
comment: md anderson treated my brothers rare bladder cancer and i am so grateful for that hes doing fine  years later,"['comment', 'md', 'anderson', 'treat', 'brothers', 'rare', 'bladder', 'cancer', 'grateful', 'hes', 'fine', 'years', 'later']"
comment: would xrays pick up any cancer in the knee  i have had knee pain just below the knee cap and went to see a top knee specialist in denver but they didnt see anything on the xrays but they said if it keeps bothering me to come back  it sounds like they would do a knee scope  not sure they would do an mri  so does all the cancer show up on regular xrays  i do have a little arthritis but it is not too bad,"['comment', 'would', 'xrays', 'pick', 'cancer', 'knee', 'knee', 'pain', 'knee', 'cap', 'go', 'see', 'top', 'knee', 'specialist', 'denver', 'didnt', 'see', 'anything', 'xrays', 'say', 'keep', 'bother', 'come', 'back', 'sound', 'like', 'would', 'knee', 'scope', 'sure', 'would', 'mri', 'cancer', 'show', 'regular', 'xrays', 'little', 'arthritis', 'bad']"
comment: my mom she has a  stage bone cancer is she going to survive for how long,"['comment', 'mom', 'stage', 'bone', 'cancer', 'go', 'survive', 'long']"
comment: my father was diagnosed with bone cancer and i’m honestly lost for words right now,"['comment', 'father', 'diagnose', 'bone', 'cancer', 'honestly', 'lose', 'word', 'right']"
comment: ratio,"['comment', 'ratio']"
comment: try using iodine it killed my thumb nail canceri applied x a wkin  weeks i didnt see it anymore kept appliing for  monthshasnt came back yet its been a yri poured it all over my hand not just my thumb,"['comment', 'try', 'use', 'iodine', 'kill', 'thumb', 'nail', 'canceri', 'apply', 'x', 'wkin', 'weeks', 'didnt', 'see', 'anymore', 'keep', 'appliing', 'monthshasnt', 'come', 'back', 'yet', 'yri', 'pour', 'hand', 'thumb']"
comment: can you spell the name of the drug that you stated was working well for you congratulations,"['comment', 'spell', 'name', 'drug', 'state', 'work', 'well', 'congratulations']"
comment: how is this man doing,"['comment', 'man']"
comment: my auntie is suffering now in bone cancer i want to help her but i dont have money how can i do  i love her very much,"['comment', 'auntie', 'suffer', 'bone', 'cancer', 'want', 'help', 'dont', 'money', 'love', 'much']"
comment: no i am not,['comment']
comment: to be honest people who were diagnosed with bone cancer has a mortality rate of within  years and it depends on its stage it is based on the survivability of every bone cancer patients the higher the stage of the cancer the lesser the survivability rate and i would suggest that if you are diagnosed with bone cancer please follow what your doctor says its not something that can be taken for granted,"['comment', 'honest', 'people', 'diagnose', 'bone', 'cancer', 'mortality', 'rate', 'within', 'years', 'depend', 'stage', 'base', 'survivability', 'every', 'bone', 'cancer', 'patients', 'higher', 'stage', 'cancer', 'lesser', 'survivability', 'rate', 'would', 'suggest', 'diagnose', 'bone', 'cancer', 'please', 'follow', 'doctor', 'say', 'something', 'take', 'grant']"
comment: my dad is suffering from dedifferentiated condrosarcoma in right femur treatment options are limited and scary,"['comment', 'dad', 'suffer', 'dedifferentiate', 'condrosarcoma', 'right', 'femur', 'treatment', 'options', 'limit', 'scary']"
comment: sir my frnd is also suffering from bone cancer in staze  can this can b cured,"['comment', 'sir', 'frnd', 'also', 'suffer', 'bone', 'cancer', 'staze', 'b', 'cure']"
comment: why is this happening,"['comment', 'happen']"
comment: why oh why,"['comment', 'oh']"
comment: how sad,"['comment', 'sad']"
comment: can she beat goku tho,"['comment', 'beat', 'goku', 'tho']"
